/////////////////////
/// CORE ITEM DATA //
/////////////////////

//Start by parsing this in your map/dictionary to parse the other data.
//ID|Item Name|Rarity|Properties|Category|Base Color|Overlay Color|Hits to break|Growtime in seconds|Clothing Type (None if its not a clothing, specified in category)

0|Blank|1|NoSeed, Dropless, Beta, Mod, Untradable|Foreground_Block|690000|690000|4|31|None
76|Black Pants|6|NoSeed|Clothing|39454F|191919|0|396|Pants
77|Black Pants Seed|6|NoSeed|Seed|000000|000000|20|0|None
78|Patent Leather Shoes|11|NoSeed|Clothing|000000|7E7E7E|0|1661|Feet
79|Patent Leather Shoes Seed|11|NoSeed|Seed|000000|000000|20|0|None
80|Ruby Slippers|49|NoSeed|Clothing|C01E1E|ED1C1D|0|119119|Feet
81|Ruby Slippers Seed|49|NoSeed|Seed|000000|000000|20|0|None
82|Green Skirt|11|NoSeed|Clothing|54CE4A|42AD39|0|1661|Pants
83|Green Skirt Seed|11|NoSeed|Seed|000000|000000|20|0|None
84|Green Blouse|14|NoSeed|Clothing|54CE4A|77DC6E|0|3164|Shirt
85|Green Blouse Seed|14|NoSeed|Seed|000000|000000|20|0|None
86|Purple Thong|24|NoSeed|Clothing|9327A5|C643DD|0|14544|Pants
87|Purple Thong Seed|24|NoSeed|Seed|000000|000000|20|0|None
88|Purple Bikini Top|22|NoSeed|Clothing|9327A5|C643DD|0|11308|Shirt
89|Purple Bikini Top Seed|22|NoSeed|Seed|000000|000000|20|0|None
90|Blonde Bombshell|8|NoSeed|Clothing|F5C32B|F8D438|0|752|Hair
91|Blonde Bombshell Seed|8|NoSeed|Seed|000000|000000|20|0|None
92|Briefcase|14|NoSeed|Clothing|383838|5D5D5D|0|3164|Hand
93|Briefcase Seed|14|NoSeed|Seed|000000|000000|20|0|None
94|Sword|11|NoSeed|Clothing|E2E2E2|DCC456|0|1661|Hand
95|Sword Seed|11|NoSeed|Seed|000000|000000|20|0|None
96|Just One Boxing Glove|16|NoSeed|Clothing|EF1617|E4E4E4|0|4576|Hand
97|Just One Boxing Glove Seed|16|NoSeed|Seed|000000|000000|20|0|None
98|Pickaxe|17|NoSeed|Clothing|7F592D|D9D9D9|0|5423|Hand
99|Pickaxe Seed|17|NoSeed|Seed|000000|000000|20|0|None
100|Wood Block|2|0|Foreground_Block|AE763A|F8C78E|3|68|None
101|Wood Block Seed|2|0|Seed|000000|000000|20|0|None
102|Wooden Platform|4|0|Platform|83531F|F6C289|3|184|None
103|Wooden Platform Seed|4|0|Seed|000000|000000|20|0|None
104|Rock Background|3|0|Background_Block|7E8184|919599|3|117|None
105|Rock Background Seed|3|0|Seed|000000|000000|20|0|None
106|Toilet|7|MultiFacing|SFX_Foreground|C9CDCD|EAEDEC|10|553|None
107|Toilet Seed|7|0|Seed|000000|000000|20|0|None
108|Painting: Yerfdog|10|0|Background_Block|77CFE9|FFFFFF|3|1300|None
109|Painting: Yerfdog Seed|10|0|Seed|000000|000000|20|0|None
110|Painting: Dink Duck|10|0|Background_Block|596E48|ABBDC5|3|1300|None
111|Painting: Dink Duck Seed|10|0|Seed|000000|000000|20|0|None
112|Gems|999|NoSeed, Dropless|Gems|0FF647|6DAF79|3|3600|None
113|Gems Seed|999|0|Seed|000000|000000|20|0|None
114|Disco Ball|45|Wrenchable|Toggleable_Foreground|FFFFFF|808080|10|92475|None
115|Disco Ball Seed|45|0|Seed|000000|000000|20|0|None
116|Bricks|3|0|Foreground_Block|BF621E|E8531F|5|117|None
117|Bricks Seed|3|0|Seed|000000|000000|20|0|None
118|Brick Background|7|0|Background_Block|5C3316|6E2D16|4|553|None
119|Brick Background Seed|7|0|Seed|000000|000000|20|0|None
120|Mystery Block|80|NoSeed, Dropless|Treasure|FFCE0B|FFFBDF|3|514400|None
121|Mystery Block Seed|80|NoSeed|Seed|000000|000000|20|0|None
122|Red Riding Hood|7|NoSeed|Clothing|D72425|EE5656|0|553|Hat
123|Red Riding Hood Seed|7|NoSeed|Seed|000000|000000|20|0|None
124|Red Coat|13|NoSeed|Clothing|D82425|EE5656|0|2587|Shirt
125|Red Coat Seed|13|NoSeed|Seed|000000|000000|20|0|None
126|Devil Horns|9|0|Consummable|FF0000|800000|2|999|None
127|Devil Horns Seed|9|0|Seed|000000|000000|20|0|None
128|Golden Halo|51|0|Consummable|FFFF00|FFFFFF|2|134181|None
129|Golden Halo Seed|51|0|Seed|000000|000000|20|0|None
130|Hot Head|5|NoSeed|Clothing|FF0000|FFFF00|0|275|Hair
131|Hot Head Seed|5|NoSeed|Seed|000000|000000|20|0|None
132|Brainwave Capacitor|21|NoSeed|Clothing|FFCF0F|43EDF9|0|9891|Hat
133|Brainwave Capacitor Seed|21|NoSeed|Seed|000000|000000|20|0|None
134|TV Head|17|NoSeed, Foreground|Clothing|684F3A|70D5F0|0|5423|Hair
135|TV Head Seed|17|NoSeed|Seed|000000|000000|20|0|None
136|Fairy Crown|47|NoSeed|Clothing|9EDEE2|EC96EE|0|105233|Hat
137|Fairy Crown Seed|47|NoSeed|Seed|000000|000000|20|0|None
138|Cyclopean Visor|10|NoSeed|Clothing|FFE381|FF1C0B|0|1300|Face
139|Cyclopean Visor Seed|10|NoSeed|Seed|000000|000000|20|0|None
140|Biker Stache|6|NoSeed|Clothing|835131|644028|0|396|Face
141|Biker Stache Seed|6|NoSeed|Seed|000000|000000|20|0|None
142|Shallot Mustache|5|NoSeed|Clothing|565656|717171|0|275|Face
143|Shallot Mustache Seed|5|NoSeed|Seed|000000|000000|20|0|None
144|X-Ray Specs|8|NoSeed|Clothing|FFFFFF|FF7777|0|752|Face
145|X-Ray Specs Seed|8|NoSeed|Seed|000000|000000|20|0|None
146|Gold-Rimmed Glasses|12|NoSeed|Clothing|BCF1F6|F7C517|0|2088|Face
147|Gold-Rimmed Glasses Seed|12|NoSeed|Seed|000000|000000|20|0|None
148|Big Glasses|16|NoSeed|Clothing|B8DBF0|3E5C6E|0|4576|Face
149|Big Glasses Seed|16|NoSeed|Seed|000000|000000|20|0|None
150|Fairy Dress|50|NoSeed|Clothing|9EDEE2|EC96EE|0|126500|Shirt
151|Fairy Dress Seed|50|NoSeed|Seed|000000|000000|20|0|None
152|Fairy Skirt|48|NoSeed|Clothing|9EDEE2|EC96EE|0|112032|Pants
153|Fairy Skirt Seed|48|NoSeed|Seed|000000|000000|20|0|None
154|Fairy Slippers|51|NoSeed|Clothing|9EDEE2|EC96EE|0|134181|Feet
155|Fairy Slippers Seed|51|NoSeed|Seed|000000|000000|20|0|None
156|Fairy Wings|52|NoSeed|Clothing|9EDEE2|EC96EE|0|142168|Back
157|Fairy Wings Seed|52|NoSeed|Seed|000000|000000|20|0|None
158|Fairy Wand|47|NoSeed|Clothing|9EDEE2|EC96EE|0|105233|Hand
159|Fairy Wand Seed|47|NoSeed|Seed|000000|000000|20|0|None
160|Jetpack|36|NoSeed|Clothing|E4E4E4|FFB745|0|47736|Back
161|Jetpack Seed|36|NoSeed|Seed|000000|000000|20|0|None
162|Death Spikes|8|0|Deadly_Block|CADDDE|EDF1F1|6|752|None
163|Death Spikes Seed|8|0|Seed|000000|000000|20|0|None
164|Grey Block|4|0|Foreground_Block|CCCCCC|DCDCDC|8|184|None
165|Grey Block Seed|4|0|Seed|000000|000000|20|0|None
166|Black Block|4|0|Foreground_Block|262626|393939|8|184|None
167|Black Block Seed|4|0|Seed|000000|000000|20|0|None
168|White Block|6|0|Foreground_Block|F8F8F8|FFFFFF|8|396|None
169|White Block Seed|6|0|Seed|000000|000000|20|0|None
170|Red Block|4|0|Foreground_Block|F9362D|FB645D|8|184|None
171|Red Block Seed|4|0|Seed|000000|000000|20|0|None
172|Orange Block|9|0|Foreground_Block|D77300|FE8B0C|8|999|None
173|Orange Block Seed|9|0|Seed|000000|000000|20|0|None
174|Yellow Block|6|0|Foreground_Block|EDDA0F|F7EA61|8|396|None
175|Yellow Block Seed|6|0|Seed|000000|000000|20|0|None
176|Green Block|5|0|Foreground_Block|62B614|70D514|8|275|None
177|Green Block Seed|5|0|Seed|000000|000000|20|0|None
178|Aqua Block|5|0|Foreground_Block|14B796|14D6AE|8|275|None
179|Aqua Block Seed|5|0|Seed|000000|000000|20|0|None
180|Blue Block|15|0|Foreground_Block|3192FF|66B1FF|8|3825|None
181|Blue Block Seed|15|0|Seed|000000|000000|20|0|None
182|Purple Block|19|0|Foreground_Block|C861FF|D88EFF|10|7429|None
183|Purple Block Seed|19|0|Seed|000000|000000|20|0|None
184|Brown Block|4|0|Foreground_Block|A76C4B|BE9178|8|184|None
185|Brown Block Seed|4|0|Seed|000000|000000|20|0|None
186|Steel Block|35|0|Foreground_Block|BCD9DA|D9F2F3|20|43925|None
187|Steel Block Seed|35|0|Seed|000000|000000|20|0|None
188|Poppy|6|0|Foreground_Block|50AE26|F88312|3|396|None
189|Poppy Seed|6|0|Seed|000000|000000|20|0|None
190|Rose|3|0|Foreground_Block|50AE26|F92D2D|3|117|None
191|Rose Seed|3|0|Seed|000000|000000|20|0|None
192|Bush|9|0|Foreground_Block|57C525|AEE957|3|999|None
193|Bush Seed|9|0|Seed|000000|000000|20|0|None
194|Mushroom|3|0|Trampoline_Block|DCD9BE|B7B189|3|117|None
195|Mushroom Seed|3|0|Seed|000000|000000|20|0|None
196|Blueberry|12|0|Consummable|2764CD|50AE26|3|2088|None
197|Blueberry Seed|12|0|Seed|000000|000000|20|0|None
198|Flowery Wallpaper|7|0|Background_Block|EDDEEE|C5E3D0|3|553|None
199|Flowery Wallpaper Seed|7|0|Seed|000000|000000|20|0|None
200|Stripey Wallpaper|10|0|Background_Block|DFE8C0|C0D9E8|3|1300|None
201|Stripey Wallpaper Seed|10|0|Seed|000000|000000|20|0|None
202|Small Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|D9CB8B|E8DEAA|10|3600|None
203|Small Lock Seed|999|NoSeed|Seed|000000|000000|20|0|None
204|Big Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|D9CB8B|E8DEAA|10|3600|None
205|Big Lock Seed|999|NoSeed|Seed|000000|000000|20|0|None
206|Huge Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|D9CB8B|E8DEAA|10|3600|None
207|Huge Lock Seed|999|NoSeed|Seed|000000|000000|20|0|None
208|Burglar Mask|8|NoSeed|Clothing|2F2F2F|191919|0|752|Face
209|Burglar Mask Seed|8|NoSeed|Seed|000000|000000|20|0|None
210|Referee Shirt|10|NoSeed|Clothing|2F2F2F|E6E6E6|0|1300|Shirt
211|Referee Shirt Seed|10|NoSeed|Seed|000000|000000|20|0|None
212|Froghat|14|NoSeed|Clothing|7FDD17|ABF658|0|3164|Hat
213|Froghat Seed|14|NoSeed|Seed|000000|000000|20|0|None
214|Flashlight|10|NoSeed|Clothing|565656|FFFEE9|0|1300|Hand
215|Flashlight Seed|10|NoSeed|Seed|000000|000000|20|0|None
216|Rooster Hat|12|NoSeed|Clothing|E8E8E8|FF2727|0|2088|Hat
217|Rooster Hat Seed|12|NoSeed|Seed|000000|000000|20|0|None
218|Wooden Chair|11|MultiFacing|Foreground_Block|9A6B42|B27642|4|1661|None
219|Wooden Chair Seed|11|0|Seed|000000|000000|20|0|None
220|Note Block|30|Wrenchable|Toggleable_Foreground|C5D7F4|F9FBFE|10|27900|None
221|Note Block Seed|30|0|Seed|000000|000000|20|0|None
222|Wooden Table|6|0|Platform|9A6B42|B27642|3|396|None
223|Wooden Table Seed|6|0|Seed|000000|000000|20|0|None
224|House Entrance|10|MultiFacing, Wrenchable|Gateway|9A6B42|FFD11D|5|1300|None
225|House Entrance Seed|10|0|Seed|000000|000000|20|0|None
226|Signal Jammer|999|Wrenchable, Permanent, AutoPickup|Toggleable_Foreground|A0A0A0|DDDDDD|30|3600|None
227|Signal Jammer Seed|999|0|Seed|000000|000000|20|0|None
228|Grow Spray Fertilizer|999|0|Consummable|9EEE84|D7F0F1|30|3600|None
229|Grow Spray Fertilizer Seed|999|0|Seed|000000|000000|20|0|None
230|Bathtub|13|MultiFacing|SFX_Foreground|FFFFFF|EBEBEB|15|2587|None
231|Bathtub Seed|13|0|Seed|000000|000000|20|0|None
232|White Beard|15|NoSeed|Clothing|F7F7F7|FFFFFF|0|3825|Face
233|White Beard Seed|15|NoSeed|Seed|000000|000000|20|0|None
234|Santa Hat|10|NoSeed|Clothing|E34E47|EFEFEF|0|1300|Hat
235|Santa Hat Seed|10|NoSeed|Seed|000000|000000|20|0|None
236|Santa Pants|5|NoSeed|Clothing|E34E47|EFEFEF|0|275|Pants
237|Santa Pants Seed|5|NoSeed|Seed|000000|000000|20|0|None
238|Santa Vest|7|NoSeed|Clothing|FF5050|EFEFEF|0|553|Shirt
239|Santa Vest Seed|7|NoSeed|Seed|000000|000000|20|0|None
240|Sack O' Joy|75|NoSeed|Clothing|E34E47|EFEFEF|0|424125|Back
241|Sack O' Joy Seed|75|NoSeed|Seed|000000|000000|20|0|None
242|World Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|FFF115|D3980B|42|3600|None
243|World Lock Seed|999|NoSeed|Seed|000000|000000|20|0|None
244|UPDATE_STORE|999|NoSeed, Dropless, Mod|Foreground_Block|00EF1B|23ED0C|0|3600|None
245|UPDATE_STORE Seed|999|NoSeed, Mod|Seed|000000|000000|20|0|None
246|Music Box|38|MultiFacing, Wrenchable|Toggleable_Foreground|FFF115|BCDEDE|10|56012|None
247|Music Box Seed|38|0|Seed|000000|000000|20|0|None
248|Evil Bricks|5|0|Animated_Foreground_Block|444444|F40000|6|275|None
249|Evil Bricks Seed|5|0|Seed|000000|000000|20|0|None
250|Asbestos Boots|11|NoSeed|Clothing|FF2727|FFE32B|0|1661|Feet
251|Asbestos Boots Seed|11|NoSeed|Seed|000000|000000|20|0|None
252|Cuzco Wall Mount|18|0|Foreground_Block|5E442E|CFBFAA|3|6372|None
253|Cuzco Wall Mount Seed|18|0|Seed|000000|000000|20|0|None
254|Robot Wants Dubstep|65|MultiFacing, Wrenchable|Toggleable_Foreground|867C66|9A8F78|10|276575|None
255|Robot Wants Dubstep Seed|65|0|Seed|000000|000000|20|0|None
256|Saturday Night Vest|86|NoSeed|Clothing|E8E8E8|5A5A5A|0|638636|Shirt
257|Saturday Night Vest Seed|86|NoSeed|Seed|000000|000000|20|0|None
258|White Bellbottoms|51|NoSeed|Clothing|E8E8E8|5A5A5A|0|134181|Pants
259|White Bellbottoms Seed|51|NoSeed|Seed|000000|000000|20|0|None
260|Golden Block|41|0|Foreground_Block|FFF115|FFFFFF|20|70151|None
261|Golden Block Seed|41|0|Seed|000000|000000|20|0|None
262|Crystal Block|100|0|Foreground_Block|FFFFFF|00FFFF|15|1003000|None
263|Crystal Block Seed|100|0|Seed|000000|000000|20|0|None
264|Picket Fence|17|Foreground|Foreground_Block|F0F0EE|CECAC0|3|5423|None
265|Picket Fence Seed|17|0|Seed|000000|000000|20|0|None
266|Long Black Hair|20|NoSeed|Clothing|1B1B1B|616161|0|8600|Hair
267|Long Black Hair Seed|20|NoSeed|Seed|000000|000000|20|0|None
268|Purple Mohawk|36|NoSeed|Clothing|C7179C|F737C8|0|47736|Hair
269|Purple Mohawk Seed|36|NoSeed|Seed|000000|000000|20|0|None
270|Messy Brown Hair|5|NoSeed|Clothing|6F5C3D|92784C|0|275|Hair
271|Messy Brown Hair Seed|5|NoSeed|Seed|000000|000000|20|0|None
272|Long Brown Hair|8|NoSeed|Clothing|4E3B1A|775A2B|0|752|Hair
273|Long Brown Hair Seed|8|NoSeed|Seed|000000|000000|20|0|None
274|Freeze Wand|999|NoSeed, Dropless|Consummable|A09E64|B47469|20|3600|None
275|Freeze Wand Seed|999|0|Seed|000000|000000|20|0|None
276|Fire Wand|999|NoSeed, Dropless|Consummable|6F3D71|B5954A|20|3600|None
277|Fire Wand Seed|999|0|Seed|000000|000000|20|0|None
278|Curse Wand|999|NoSeed, Dropless|Consummable|C97912|CC700E|20|3600|None
279|Curse Wand Seed|999|0|Seed|000000|000000|20|0|None
280|Bed|14|MultiFacing|Foreground_Block|9A6B42|7BC4D7|5|3164|None
281|Bed Seed|14|0|Seed|000000|000000|20|0|None
282|Polka Dot Block|15|0|Foreground_Block|F8F8F8|ED7DA7|5|3825|None
283|Polka Dot Block Seed|15|0|Seed|000000|000000|20|0|None
284|Checker Wallpaper|11|0|Background_Block|525D4F|F8F8F8|3|1661|None
285|Checker Wallpaper Seed|11|0|Seed|000000|000000|20|0|None
286|Fireplace|46|Wrenchable|Toggleable_Foreground|674B1B|FFA70F|6|98716|None
287|Fireplace Seed|46|0|Seed|000000|000000|20|0|None
288|Snorkel|15|NoSeed|Clothing|3E8FDE|4A4A4A|0|3825|Face
289|Snorkel Seed|15|NoSeed|Seed|000000|000000|20|0|None
290|Ninja Mask|44|NoSeed|Clothing|050505|1D1D1D|0|86504|Hair
291|Ninja Mask Seed|44|NoSeed|Seed|000000|000000|20|0|None
292|Ninja Tights|59|NoSeed|Clothing|050505|1D1D1D|0|207149|Pants
293|Ninja Tights Seed|59|NoSeed|Seed|000000|000000|20|0|None
294|Ninja Vest|55|NoSeed|Clothing|050505|1D1D1D|0|168025|Shirt
295|Ninja Vest Seed|55|NoSeed|Seed|000000|000000|20|0|None
296|Ninja Slippers|44|NoSeed|Clothing|050505|1D1D1D|0|86504|Feet
297|Ninja Slippers Seed|44|NoSeed|Seed|000000|000000|20|0|None
298|The Darkness|40|0|Background_Block|000000|000000|3|65200|None
299|The Darkness Seed|40|0|Seed|000000|000000|20|0|None
300|Rubber Ducky|23|MultiFacing|SFX_Foreground|FFCA15|F5A307|4|12857|None
301|Rubber Ducky Seed|23|0|Seed|000000|000000|20|0|None
302|Checkered Pajamas|25|NoSeed|Clothing|C9FFF2|85FBAE|0|16375|Shirt
303|Checkered Pajamas Seed|25|NoSeed|Seed|000000|000000|20|0|None
304|Tie Dyed Shirt|26|NoSeed|Clothing|DE81B3|F57D5D|0|18356|Shirt
305|Tie Dyed Shirt Seed|26|NoSeed|Seed|000000|000000|20|0|None
306|Rainbow Wig|74|NoSeed|Clothing|FFC34B|ED71FF|0|407444|Hair
307|Rainbow Wig Seed|74|NoSeed|Seed|000000|000000|20|0|None
308|Rainbow Block|28|0|Foreground_Block|FFC34B|ED71FF|5|22792|None
309|Rainbow Block Seed|28|0|Seed|000000|000000|20|0|None
310|Monocle|44|NoSeed|Clothing|DBC457|A3E8EB|0|86504|Face
311|Monocle Seed|44|NoSeed|Seed|000000|000000|20|0|None
312|Pirate Hat|53|NoSeed|Clothing|4A5D70|C6C9CC|0|150467|Hat
313|Pirate Hat Seed|53|NoSeed|Seed|000000|000000|20|0|None
314|Eyepatch|68|NoSeed|Clothing|000000|1E1E1E|0|316472|Face
315|Eyepatch Seed|68|NoSeed|Seed|000000|000000|20|0|None
316|Peg Leg|29|NoSeed|Clothing|8A6234|3B3B3B|0|25259|Feet
317|Peg Leg Seed|29|NoSeed|Seed|000000|000000|20|0|None
318|Diamond Ring|141|NoSeed|Clothing|FFE71D|DDEFEF|0|2807451|Hand
319|Diamond Ring Seed|141|NoSeed|Seed|000000|000000|20|0|None
320|Cannon|50|MultiFacing|SFX_Foreground|3F3F3F|7D592F|4|126500|None
321|Cannon Seed|50|0|Seed|000000|000000|20|0|None
322|High Tech Wall|69|0|Background_Block|B1B1B1|C5C5C5|3|330579|None
323|High Tech Wall Seed|69|0|Seed|000000|000000|20|0|None
324|High Tech Block|69|0|Foreground_Block|E8E8E8|FFFFFF|9|330579|None
325|High Tech Block Seed|69|0|Seed|000000|000000|20|0|None
326|Magic Bacon Wallpaper|38|0|Background_Block|F8E0FA|C45A3E|3|56012|None
327|Magic Bacon Wallpaper Seed|38|0|Seed|000000|000000|20|0|None
328|Bubble Wrap|14|0|SFX_Background|8EB2CE|FFFFFF|4|3164|None
329|Bubble Wrap Seed|14|0|Seed|000000|000000|20|0|None
330|Cactus|17|0|Spike|98E13F|82D024|4|5423|None
331|Cactus Seed|17|0|Seed|000000|000000|20|0|None
332|Sandstone|18|0|Foreground_Block|E0DAAE|EEEBD0|3|6372|None
333|Sandstone Seed|18|0|Seed|000000|000000|20|0|None
334|Art Wall|66|0|Toggleable_Background|E5C973|E092DD|10|289476|None
335|Art Wall Seed|66|0|Seed|000000|000000|20|0|None
336|Stone Wall|5|0|Foreground_Block|645F50|CBCBCB|4|275|None
337|Stone Wall Seed|5|0|Seed|000000|000000|20|0|None
338|Das Red Balloon|18|0|Consummable|82090A|FF0000|2|6372|None
339|Das Red Balloon Seed|18|0|Seed|000000|000000|20|0|None
340|Chandelier|87|0|Animated_Foreground_Block|FFE015|F1F1ED|7|661113|None
341|Chandelier Seed|87|0|Seed|000000|000000|20|0|None
342|Lovely Pink Dress|10|NoSeed|Clothing|F0BCEC|F7F5E3|0|1300|Shirt
343|Lovely Pink Dress Seed|10|NoSeed|Seed|000000|000000|20|0|None
344|Fishnet Stockings|79|NoSeed|Clothing|000000|000000|0|495409|Pants
345|Fishnet Stockings Seed|79|NoSeed|Seed|000000|000000|20|0|None
346|Monster Feet|14|NoSeed|Clothing|2ED92D|E6E6E6|0|3164|Feet
347|Monster Feet Seed|14|NoSeed|Seed|000000|000000|20|0|None
348|Hoop Earrings|57|NoSeed|Clothing|FBD919|FFFF96|0|186903|Face
349|Hoop Earrings Seed|57|NoSeed|Seed|000000|000000|20|0|None
350|Heroman Cape|999|NoSeed, Mod|Clothing|C40F0C|FF342F|0|3600|Back
351|Heroman Cape Seed|999|NoSeed, Mod|Seed|000000|000000|20|0|None
352|Lollipop|31|NoSeed|Clothing|FCEF96|F2B2EB|0|30721|Hand
353|Lollipop Seed|31|NoSeed|Seed|000000|000000|20|0|None
354|Viking Helmet|9|NoSeed|Clothing|CDCDCD|D7CFB7|0|999|Hat
355|Viking Helmet Seed|9|NoSeed|Seed|000000|000000|20|0|None
356|Pigtails|12|NoSeed|Clothing|EEC752|F0A2EC|0|2088|Hair
357|Pigtails Seed|12|NoSeed|Seed|000000|000000|20|0|None
